identifier,source,x,y,width,height,sourcerect
adrenaline,devspace/textures/ampoule/items/adrenaline/icon.png,0,0,64,64,"0,0,64,64"
antibiotics,devspace/textures/ampoule/items/antibiotics/icon.png,64,0,64,64,"64,0,64,64"
opium,devspace/textures/ampoule/items/opium/icon.png,128,0,64,64,"128,0,64,64"
stabilozine,devspace/textures/ampoule/items/stabilozine/icon.png,192,0,64,64,"192,0,64,64"
chloralhydrate,devspace/textures/dart_syringe/items/chloralhydrate/icon.png,256,0,64,64,"256,0,64,64"
cyanide,devspace/textures/dart_syringe/items/cyanide/icon.png,320,0,64,64,"320,0,64,64"
deliriumine,devspace/textures/dart_syringe/items/deliriumine/icon.png,0,64,64,64,"0,64,64,64"
europabrew,devspace/textures/dart_syringe/items/europabrew/icon.png,64,64,64,64,"64,64,64,64"
huskeggs,devspace/textures/dart_syringe/items/huskeggs/icon.png,128,64,64,64,"128,64,64,64"
morbusine,devspace/textures/dart_syringe/items/morbusine/icon.png,192,64,64,64,"192,64,64,64"
paralyzant,devspace/textures/dart_syringe/items/paralyzant/icon.png,256,64,64,64,"256,64,64,64"
radiotoxin,devspace/textures/dart_syringe/items/radiotoxin/icon.png,320,64,64,64,"320,64,64,64"
raptorbaneextract,devspace/textures/dart_syringe/items/raptorbaneextract/icon.png,0,128,64,64,"0,128,64,64"
sufforin,devspace/textures/dart_syringe/items/sufforin/icon.png,64,128,64,64,"64,128,64,64"
sulphuricacidsyringe,devspace/textures/dart_syringe/items/sulphuricacidsyringe/icon.png,128,128,64,64,"128,128,64,64"
antidama1,devspace/textures/insulin_syringe/items/antidama1/icon.png,192,128,64,64,"192,128,64,64"
antidama2,devspace/textures/insulin_syringe/items/antidama2/icon.png,256,128,64,64,"256,128,64,64"
deusizine,devspace/textures/insulin_syringe/items/deusizine/icon.png,320,128,64,64,"320,128,64,64"
liquidoxygenite,devspace/textures/insulin_syringe/items/liquidoxygenite/icon.png,0,192,64,64,"0,192,64,64"
pomegrenadeextract,devspace/textures/insulin_syringe/items/pomegrenadeextract/icon.png,64,192,64,64,"64,192,64,64"
combatstimulantsyringe,devspace/textures/pocket_injector/items/combatstimulantsyringe/icon.png,128,192,64,64,"128,192,64,64"
hyperzine,devspace/textures/pocket_injector/items/hyperzine/icon.png,192,192,64,64,"192,192,64,64"
meth,devspace/textures/pocket_injector/items/meth/icon.png,256,192,64,64,"256,192,64,64"
pressurestabilizer,devspace/textures/pocket_injector/items/pressurestabilizer/icon.png,320,192,64,64,"320,192,64,64"
steroids,devspace/textures/pocket_injector/items/steroids/icon.png,0,256,64,64,"0,256,64,64"
antinarc,devspace/textures/vial/items/antinarc/icon.png,64,256,64,64,"64,256,64,64"
antiparalysis,devspace/textures/vial/items/antiparalysis/icon.png,128,256,64,64,"128,256,64,64"
antipsychosis,devspace/textures/vial/items/antipsychosis/icon.png,192,256,64,64,"192,256,64,64"
antirad,devspace/textures/vial/items/antirad/icon.png,256,256,64,64,"256,256,64,64"
calyxanide,devspace/textures/vial/items/calyxanide/icon.png,320,256,64,64,"320,256,64,64"
cyanideantidote,devspace/textures/vial/items/cyanideantidote/icon.png,0,320,64,64,"0,320,64,64"
deliriumineantidote,devspace/textures/vial/items/deliriumineantidote/icon.png,64,320,64,64,"64,320,64,64"
morbusineantidote,devspace/textures/vial/items/morbusineantidote/icon.png,128,320,64,64,"128,320,64,64"
sufforinantidote,devspace/textures/vial/items/sufforinantidote/icon.png,192,320,64,64,"192,320,64,64"
