name,source,x,y,width,height,sourcerect
acidburn,devspace/statusicons/acidburn.png,0,0,24,24,"0,0,24,24"
acidreaction,devspace/statusicons/acidreaction.png,24,0,24,24,"24,0,24,24"
adrenalinerush,devspace/statusicons/adrenalinerush.png,48,0,24,24,"48,0,24,24"
combatstimulant,devspace/statusicons/combatstimulant.png,72,0,24,24,"72,0,24,24"
haste,devspace/statusicons/haste.png,96,0,24,24,"96,0,24,24"
huskinfection,devspace/statusicons/huskinfection.png,0,24,24,24,"0,24,24,24"
infection,devspace/statusicons/infection.png,24,24,24,24,"24,24,24,24"
internaldamage,devspace/statusicons/internaldamage.png,48,24,24,24,"48,24,24,24"
internaldamage2,devspace/statusicons/internaldamage2.png,72,24,24,24,"72,24,24,24"
opiatewithdrawal,devspace/statusicons/opiatewithdrawal.png,96,24,24,24,"96,24,24,24"
oxygenlow,devspace/statusicons/oxygenlow.png,0,48,24,24,"0,48,24,24"
poison,devspace/statusicons/poison.png,24,48,24,24,"24,48,24,24"
poison_paralycs,devspace/statusicons/poison_paralycs.png,48,48,24,24,"48,48,24,24"
pressurestabilized,devspace/statusicons/pressurestabilized.png,72,48,24,24,"72,48,24,24"
psychosis,devspace/statusicons/psychosis.png,96,48,24,24,"96,48,24,24"
radiationsickness,devspace/statusicons/radiationsickness.png,0,72,24,24,"0,72,24,24"
stabilozineeffect,devspace/statusicons/stabilozineeffect.png,24,72,24,24,"24,72,24,24"
stun,devspace/statusicons/stun.png,48,72,24,24,"48,72,24,24"
vigor,devspace/statusicons/vigor.png,72,72,24,24,"72,72,24,24"
