item,identifier,source,x,y,width,height,sourcerect
ampoule,adrenaline,devspace\items\ampoule\items\adrenaline\sprite.png,0,0,20,92,"0,0,20,92"
ampoule,antibiotics,devspace\items\ampoule\items\antibiotics\sprite.png,20,0,20,92,"20,0,20,92"
ampoule,opium,devspace\items\ampoule\items\opium\sprite.png,40,0,20,92,"40,0,20,92"
ampoule,stabilozine,devspace\items\ampoule\items\stabilozine\sprite.png,60,0,20,92,"60,0,20,92"
dart_syringe,huskeggs,devspace\items\dart_syringe\items\huskeggs\sprite.png,80,0,20,108,"80,0,20,108"
dart_syringe,chloralhydrate,devspace\items\dart_syringe\items\chloralhydrate\sprite.png,100,0,20,108,"100,0,20,108"
dart_syringe,cyanide,devspace\items\dart_syringe\items\cyanide\sprite.png,120,0,20,108,"120,0,20,108"
dart_syringe,dart_syringe,devspace\items\dart_syringe\items\dart_syringe\sprite.png,140,0,20,104,"140,0,20,104"
dart_syringe,deliriumine,devspace\items\dart_syringe\items\deliriumine\sprite.png,160,0,20,108,"160,0,20,108"
dart_syringe,europabrew,devspace\items\dart_syringe\items\europabrew\sprite.png,180,0,20,108,"180,0,20,108"
dart_syringe,morbusine,devspace\items\dart_syringe\items\morbusine\sprite.png,200,0,20,108,"200,0,20,108"
dart_syringe,paralyzant,devspace\items\dart_syringe\items\paralyzant\sprite.png,220,0,20,108,"220,0,20,108"
dart_syringe,radiotoxin,devspace\items\dart_syringe\items\radiotoxin\sprite.png,240,0,20,108,"240,0,20,108"
dart_syringe,raptorbaneextract,devspace\items\dart_syringe\items\raptorbaneextract\sprite.png,260,0,20,108,"260,0,20,108"
dart_syringe,sufforin,devspace\items\dart_syringe\items\sufforin\sprite.png,280,0,20,108,"280,0,20,108"
dart_syringe,sulphuricacid,devspace\items\dart_syringe\items\sulphuricacid\sprite.png,300,0,20,108,"300,0,20,108"
insulin_syringe,antidama1,devspace\items\insulin_syringe\items\antidama1\sprite.png,320,0,16,100,"320,0,16,100"
insulin_syringe,antidama2,devspace\items\insulin_syringe\items\antidama2\sprite.png,336,0,16,100,"336,0,16,100"
insulin_syringe,deusizine,devspace\items\insulin_syringe\items\deusizine\sprite.png,352,0,16,100,"352,0,16,100"
insulin_syringe,liquidoxygenite,devspace\items\insulin_syringe\items\liquidoxygenite\sprite.png,368,0,16,100,"368,0,16,100"
insulin_syringe,pomegrenadeextract,devspace\items\insulin_syringe\items\pomegrenadeextract\sprite.png,384,0,16,100,"384,0,16,100"
