name,source,x,y,width,height,sourcerect
acidburn,source/status_icons/acidburn.png,0,0,24,24,"0,0,24,24"
acidreaction,source/status_icons/acidreaction.png,24,0,24,24,"24,0,24,24"
adrenalinerush,source/status_icons/adrenalinerush.png,48,0,24,24,"48,0,24,24"
combatstimulant,source/status_icons/combatstimulant.png,72,0,24,24,"72,0,24,24"
haste,source/status_icons/haste.png,96,0,24,24,"96,0,24,24"
huskinfection,source/status_icons/huskinfection.png,0,24,24,24,"0,24,24,24"
infection,source/status_icons/infection.png,24,24,24,24,"24,24,24,24"
internaldamage,source/status_icons/internaldamage.png,48,24,24,24,"48,24,24,24"
internaldamage2,source/status_icons/internaldamage2.png,72,24,24,24,"72,24,24,24"
opiatewithdrawal,source/status_icons/opiatewithdrawal.png,96,24,24,24,"96,24,24,24"
oxygenlow,source/status_icons/oxygenlow.png,0,48,24,24,"0,48,24,24"
poison,source/status_icons/poison.png,24,48,24,24,"24,48,24,24"
poison_paralycs,source/status_icons/poison_paralycs.png,48,48,24,24,"48,48,24,24"
pressurestabilized,source/status_icons/pressurestabilized.png,72,48,24,24,"72,48,24,24"
psychosis,source/status_icons/psychosis.png,96,48,24,24,"96,48,24,24"
radiationsickness,source/status_icons/radiationsickness.png,0,72,24,24,"0,72,24,24"
stabilozineeffect,source/status_icons/stabilozineeffect.png,24,72,24,24,"24,72,24,24"
stun,source/status_icons/stun.png,48,72,24,24,"48,72,24,24"
vigor,source/status_icons/vigor.png,72,72,24,24,"72,72,24,24"
